node_id,node_type,name,match_id,innings_index,over,ball_in_over
ball:CWC_2011_final_ALL:1:8.4,ball,8.4,CWC_2011_final_ALL,1,8,4
ball:CWC_2011_final_ALL:1:8.5,ball,8.5,CWC_2011_final_ALL,1,8,5
ball:CWC_2011_final_ALL:1:8.6,ball,8.6,CWC_2011_final_ALL,1,8,6
over:CWC_2011_final_ALL:1:9,over,9,CWC_2011_final_ALL,1,9,
ball:CWC_2011_final_ALL:1:9.1,ball,9.1,CWC_2011_final_ALL,1,9,1
ball:CWC_2011_final_ALL:1:9.2,ball,9.2,CWC_2011_final_ALL,1,9,2
ball:CWC_2011_final_ALL:1:9.3,ball,9.3,CWC_2011_final_ALL,1,9,3
ball:CWC_2011_final_ALL:1:9.4,ball,9.4,CWC_2011_final_ALL,1,9,4
ball:CWC_2011_final_ALL:1:9.5,ball,9.5,CWC_2011_final_ALL,1,9,5
ball:CWC_2011_final_ALL:1:9.6,ball,9.6,CWC_2011_final_ALL,1,9,6
over:CWC_2011_final_ALL:1:10,over,10,CWC_2011_final_ALL,1,10,
ball:CWC_2011_final_ALL:1:10.1,ball,10.1,CWC_2011_final_ALL,1,10,1
phase:middle,phase,middle,,,,
ball:CWC_2011_final_ALL:1:10.2,ball,10.2,CWC_2011_final_ALL,1,10,2
ball:CWC_2011_final_ALL:1:10.3,ball,10.3,CWC_2011_final_ALL,1,10,3
ball:CWC_2011_final_ALL:1:10.4,ball,10.4,CWC_2011_final_ALL,1,10,4
ball:CWC_2011_final_ALL:1:10.5,ball,10.5,CWC_2011_final_ALL,1,10,5
ball:CWC_2011_final_ALL:1:10.6,ball,10.6,CWC_2011_final_ALL,1,10,6
over:CWC_2011_final_ALL:1:11,over,11,CWC_2011_final_ALL,1,11,
ball:CWC_2011_final_ALL:1:11.1,ball,11.1,CWC_2011_final_ALL,1,11,1
ball:CWC_2011_final_ALL:1:11.2,ball,11.2,CWC_2011_final_ALL,1,11,2
ball:CWC_2011_final_ALL:1:11.3,ball,11.3,CWC_2011_final_ALL,1,11,3
ball:CWC_2011_final_ALL:1:11.4,ball,11.4,CWC_2011_final_ALL,1,11,4
ball:CWC_2011_final_ALL:1:11.5,ball,11.5,CWC_2011_final_ALL,1,11,5
ball:CWC_2011_final_ALL:1:11.6,ball,11.6,CWC_2011_final_ALL,1,11,6
over:CWC_2011_final_ALL:1:12,over,12,CWC_2011_final_ALL,1,12,
ball:CWC_2011_final_ALL:1:12.1,ball,12.1,CWC_2011_final_ALL,1,12,1
ball:CWC_2011_final_ALL:1:12.2,ball,12.2,CWC_2011_final_ALL,1,12,2
ball:CWC_2011_final_ALL:1:12.3,ball,12.3,CWC_2011_final_ALL,1,12,3
ball:CWC_2011_final_ALL:1:12.4,ball,12.4,CWC_2011_final_ALL,1,12,4
ball:CWC_2011_final_ALL:1:12.5,ball,12.5,CWC_2011_final_ALL,1,12,5
ball:CWC_2011_final_ALL:1:12.6,ball,12.6,CWC_2011_final_ALL,1,12,6
over:CWC_2011_final_ALL:1:13,over,13,CWC_2011_final_ALL,1,13,
ball:CWC_2011_final_ALL:1:13.1,ball,13.1,CWC_2011_final_ALL,1,13,1
ball:CWC_2011_final_ALL:1:13.2,ball,13.2,CWC_2011_final_ALL,1,13,2
ball:CWC_2011_final_ALL:1:13.3,ball,13.3,CWC_2011_final_ALL,1,13,3
ball:CWC_2011_final_ALL:1:13.4,ball,13.4,CWC_2011_final_ALL,1,13,4
ball:CWC_2011_final_ALL:1:13.5,ball,13.5,CWC_2011_final_ALL,1,13,5
ball:CWC_2011_final_ALL:1:13.6,ball,13.6,CWC_2011_final_ALL,1,13,6
over:CWC_2011_final_ALL:1:14,over,14,CWC_2011_final_ALL,1,14,
ball:CWC_2011_final_ALL:1:14.1,ball,14.1,CWC_2011_final_ALL,1,14,1
player:Harbhajan,player,Harbhajan,,,,
ball:CWC_2011_final_ALL:1:14.2,ball,14.2,CWC_2011_final_ALL,1,14,2
ball:CWC_2011_final_ALL:1:14.3,ball,14.3,CWC_2011_final_ALL,1,14,3
ball:CWC_2011_final_ALL:1:14.4,ball,14.4,CWC_2011_final_ALL,1,14,4
ball:CWC_2011_final_ALL:1:14.5,ball,14.5,CWC_2011_final_ALL,1,14,5
ball:CWC_2011_final_ALL:1:14.6,ball,14.6,CWC_2011_final_ALL,1,14,6
over:CWC_2011_final_ALL:1:15,over,15,CWC_2011_final_ALL,1,15,
ball:CWC_2011_final_ALL:1:15.1,ball,15.1,CWC_2011_final_ALL,1,15,1
ball:CWC_2011_final_ALL:1:15.2,ball,15.2,CWC_2011_final_ALL,1,15,2
ball:CWC_2011_final_ALL:1:15.3,ball,15.3,CWC_2011_final_ALL,1,15,3
ball:CWC_2011_final_ALL:1:15.4,ball,15.4,CWC_2011_final_ALL,1,15,4
ball:CWC_2011_final_ALL:1:15.5,ball,15.5,CWC_2011_final_ALL,1,15,5
ball:CWC_2011_final_ALL:1:15.6,ball,15.6,CWC_2011_final_ALL,1,15,6
over:CWC_2011_final_ALL:1:16,over,16,CWC_2011_final_ALL,1,16,
ball:CWC_2011_final_ALL:1:16.1,ball,16.1,CWC_2011_final_ALL,1,16,1
ball:CWC_2011_final_ALL:1:16.2,ball,16.2,CWC_2011_final_ALL,1,16,2
ball:CWC_2011_final_ALL:1:16.3,ball,16.3,CWC_2011_final_ALL,1,16,3
ball:CWC_2011_final_ALL:1:16.4,ball,16.4,CWC_2011_final_ALL,1,16,4
player:Mahela Jayawardene,player,Mahela Jayawardene,,,,
ball:CWC_2011_final_ALL:1:16.5,ball,16.5,CWC_2011_final_ALL,1,16,5
ball:CWC_2011_final_ALL:1:16.6,ball,16.6,CWC_2011_final_ALL,1,16,6
over:CWC_2011_final_ALL:1:17,over,17,CWC_2011_final_ALL,1,17,
ball:CWC_2011_final_ALL:1:17.1,ball,17.1,CWC_2011_final_ALL,1,17,1
ball:CWC_2011_final_ALL:1:17.2,ball,17.2,CWC_2011_final_ALL,1,17,2
ball:CWC_2011_final_ALL:1:17.3,ball,17.3,CWC_2011_final_ALL,1,17,3
ball:CWC_2011_final_ALL:1:17.4,ball,17.4,CWC_2011_final_ALL,1,17,4
ball:CWC_2011_final_ALL:1:17.5,ball,17.5,CWC_2011_final_ALL,1,17,5
ball:CWC_2011_final_ALL:1:17.6,ball,17.6,CWC_2011_final_ALL,1,17,6
over:CWC_2011_final_ALL:1:18,over,18,CWC_2011_final_ALL,1,18,
ball:CWC_2011_final_ALL:1:18.1,ball,18.1,CWC_2011_final_ALL,1,18,1
ball:CWC_2011_final_ALL:1:18.2,ball,18.2,CWC_2011_final_ALL,1,18,2
ball:CWC_2011_final_ALL:1:18.3,ball,18.3,CWC_2011_final_ALL,1,18,3
ball:CWC_2011_final_ALL:1:18.4,ball,18.4,CWC_2011_final_ALL,1,18,4
ball:CWC_2011_final_ALL:1:18.5,ball,18.5,CWC_2011_final_ALL,1,18,5
ball:CWC_2011_final_ALL:1:18.6,ball,18.6,CWC_2011_final_ALL,1,18,6
