source_id,relation,target_id
ball:CWC_2011_final_ALL:2:45.4,phase,phase:death
ball:CWC_2011_final_ALL:2:45.5,batsman,player:Yuvraj
ball:CWC_2011_final_ALL:2:45.5,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:45.5,event_type,event:run
ball:CWC_2011_final_ALL:2:45.5,phase,phase:death
ball:CWC_2011_final_ALL:2:45.6,batsman,player:Yuvraj
ball:CWC_2011_final_ALL:2:45.6,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:45.6,event_type,event:run
ball:CWC_2011_final_ALL:2:45.6,phase,phase:death
ball:CWC_2011_final_ALL:2:46.1,batsman,player:Yuvraj
ball:CWC_2011_final_ALL:2:46.1,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:46.1,event_type,event:run
ball:CWC_2011_final_ALL:2:46.1,phase,phase:death
ball:CWC_2011_final_ALL:2:46.2,batsman,player:Dhoni
ball:CWC_2011_final_ALL:2:46.2,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:46.2,event_type,event:boundary
ball:CWC_2011_final_ALL:2:46.2,phase,phase:death
ball:CWC_2011_final_ALL:2:46.3,batsman,player:Dhoni
ball:CWC_2011_final_ALL:2:46.3,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:46.3,event_type,event:run
ball:CWC_2011_final_ALL:2:46.3,phase,phase:death
ball:CWC_2011_final_ALL:2:46.4,batsman,player:Yuvraj
ball:CWC_2011_final_ALL:2:46.4,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:46.4,event_type,event:boundary
ball:CWC_2011_final_ALL:2:46.4,phase,phase:death
ball:CWC_2011_final_ALL:2:46.5,batsman,player:Yuvraj
ball:CWC_2011_final_ALL:2:46.5,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:46.5,event_type,event:dot
ball:CWC_2011_final_ALL:2:46.5,phase,phase:death
ball:CWC_2011_final_ALL:2:46.6,batsman,player:Yuvraj
ball:CWC_2011_final_ALL:2:46.6,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:46.6,event_type,event:run
ball:CWC_2011_final_ALL:2:46.6,phase,phase:death
ball:CWC_2011_final_ALL:2:47.1,batsman,player:Yuvraj
ball:CWC_2011_final_ALL:2:47.1,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:47.1,event_type,event:run
ball:CWC_2011_final_ALL:2:47.1,phase,phase:death
ball:CWC_2011_final_ALL:2:47.2,batsman,player:Dhoni
ball:CWC_2011_final_ALL:2:47.2,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:47.2,event_type,event:boundary
ball:CWC_2011_final_ALL:2:47.2,phase,phase:death
ball:CWC_2011_final_ALL:2:47.3,batsman,player:Dhoni
ball:CWC_2011_final_ALL:2:47.3,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:47.3,event_type,event:boundary
ball:CWC_2011_final_ALL:2:47.3,phase,phase:death
ball:CWC_2011_final_ALL:2:47.4,batsman,player:Dhoni
ball:CWC_2011_final_ALL:2:47.4,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:47.4,event_type,event:dot
ball:CWC_2011_final_ALL:2:47.4,phase,phase:death
ball:CWC_2011_final_ALL:2:47.5,batsman,player:Dhoni
ball:CWC_2011_final_ALL:2:47.5,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:47.5,event_type,event:run
ball:CWC_2011_final_ALL:2:47.5,phase,phase:death
ball:CWC_2011_final_ALL:2:47.6,batsman,player:Yuvraj
ball:CWC_2011_final_ALL:2:47.6,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:47.6,event_type,event:run
ball:CWC_2011_final_ALL:2:47.6,phase,phase:death
ball:CWC_2011_final_ALL:2:48.1,batsman,player:Yuvraj
ball:CWC_2011_final_ALL:2:48.1,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:48.1,event_type,event:run
ball:CWC_2011_final_ALL:2:48.1,phase,phase:death
ball:CWC_2011_final_ALL:2:48.2,batsman,player:Dhoni
ball:CWC_2011_final_ALL:2:48.2,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:48.2,event_type,event:boundary
ball:CWC_2011_final_ALL:2:48.2,phase,phase:death
ball:CWC_2011_final_ALL:2:5.1,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:5.1,bowler,player:Perera
ball:CWC_2011_final_ALL:2:5.1,event_type,event:dot
ball:CWC_2011_final_ALL:2:5.1,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:5.2,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:5.2,bowler,player:Perera
ball:CWC_2011_final_ALL:2:5.2,event_type,event:dot
ball:CWC_2011_final_ALL:2:5.2,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:5.3,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:5.3,bowler,player:Perera
ball:CWC_2011_final_ALL:2:5.3,event_type,event:dot
ball:CWC_2011_final_ALL:2:5.3,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:5.4,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:5.4,bowler,player:Perera
ball:CWC_2011_final_ALL:2:5.4,event_type,event:dot
ball:CWC_2011_final_ALL:2:5.4,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:5.5,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:5.5,bowler,player:Perera
ball:CWC_2011_final_ALL:2:5.5,event_type,event:boundary
ball:CWC_2011_final_ALL:2:5.5,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:5.6,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:5.6,bowler,player:Perera
ball:CWC_2011_final_ALL:2:5.6,event_type,event:dot
ball:CWC_2011_final_ALL:2:5.6,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:6.1,batsman,player:Tendulkar
ball:CWC_2011_final_ALL:2:6.1,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:6.1,event_type,event:wicket
ball:CWC_2011_final_ALL:2:6.1,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:6.2,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:6.2,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:6.2,event_type,event:dot
ball:CWC_2011_final_ALL:2:6.2,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:6.3,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:6.3,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:6.3,event_type,event:dot
ball:CWC_2011_final_ALL:2:6.3,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:6.4,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:6.4,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:6.4,event_type,event:dot
ball:CWC_2011_final_ALL:2:6.4,event_type,event:extra
ball:CWC_2011_final_ALL:2:6.4,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:6.5,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:6.5,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:6.5,event_type,event:dot
ball:CWC_2011_final_ALL:2:6.5,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:6.6,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:6.6,bowler,player:Malinga
ball:CWC_2011_final_ALL:2:6.6,event_type,event:dot
ball:CWC_2011_final_ALL:2:6.6,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:7.1,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:7.1,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:7.1,event_type,event:dot
ball:CWC_2011_final_ALL:2:7.1,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:7.2,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:7.2,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:7.2,event_type,event:run
ball:CWC_2011_final_ALL:2:7.2,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:7.3,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:7.3,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:7.3,event_type,event:dot
ball:CWC_2011_final_ALL:2:7.3,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:7.4,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:7.4,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:7.4,event_type,event:dot
ball:CWC_2011_final_ALL:2:7.4,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:7.5,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:7.5,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:7.5,event_type,event:dot
ball:CWC_2011_final_ALL:2:7.5,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:7.6,batsman,player:Kohli
ball:CWC_2011_final_ALL:2:7.6,bowler,player:Kulasekara
ball:CWC_2011_final_ALL:2:7.6,event_type,event:dot
ball:CWC_2011_final_ALL:2:7.6,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:8.1,batsman,player:Gambhir
ball:CWC_2011_final_ALL:2:8.1,bowler,player:Perera
ball:CWC_2011_final_ALL:2:8.1,event_type,event:dot
ball:CWC_2011_final_ALL:2:8.1,phase,phase:powerplay
ball:CWC_2011_final_ALL:2:8.2,batsman,player:Gambhir
